Adidas,907-921-2010,lpaprocki@hotmail.com,639 Main St Anchorage Anchorage AK
Nike,513-549-4561,donette.foller@cox.net,34 Center St Hamilton Butler OH
H&M,773-924-8565,mitsue_tollner@yahoo.com,7 Eads St Chicago Cook IL
Zara,408-813-1105,leota@hotmail.com,7 W Jackson Blvd San Jose Santa Clara CA
FLO,605-794-4895,sage_wieser@cox.net,5 Boston Ave #88 Sioux Falls Minnehaha SD
Gratis,631-677-3675,amaclead@gmail.com,37275 St  Rt 17m M Middle Island Suffolk NY
Watson,310-254-3084,kiley.caldarera@aol.com,25 E 75th St #69 Los Angeles Los Angeles CA
D&R,440-579-7763,gruta@cox.net,98 Connecticut Ave Nw Chagrin Falls Geauga OH
Baydoner,602-953-6360,mattie@aol.com,73 State Road 434 E Phoenix Maricopa AZ
ToyZ,414-377-2880,gladys.rim@rim.org,322 New Horizon Blvd Milwaukee Milwaukee WI
Pull and Bear,313-341-4470,yuki_whobrey@aol.com,1 State Route 27 Taylor Wayne MI
LondonX,815-426-5657,fletcher.flosi@yahoo.com,394 Manchester Blvd Rockford Winnebago IL
Hummel,610-492-4643,bette_nicka@cox.net,6 S 33rd St Aston Delaware PA
Inditex,408-813-4592,vinouye@aol.com,6 Greenleaf Ave San Jose Santa Clara CA
Candy Shop,732-635-3453,alisha@slusarski.com,3273 State St Middlesex Middlesex NJ
Rimmel London,913-899-1103,chanel.caudy@caudy.org,86 Nw 66th St #8673 Shawnee Johnson KS
Mac,212-934-5167,wkusko@yahoo.com,90991 Thorburn Ave New York New York NY
Vatan,505-335-5293,francine_vocelka@vocelka.com,366 South Dr Las Cruces Dona Ana NM
Zara Home,201-387-9093,ernie_stenseth@aol.com,45 E Liberty St Ridgefield Park Bergen NJ
English Home,212-753-2740,asergi@gmail.com,2742 Distribution Way New York New York NY
Starbucks,212-569-4233,jose@yahoo.com,128 Bransten Rd New York New York NY
Tuck,805-609-1531,rozella.ostrosky@ostrosky.com,17 Morena Blvd Camarillo Ventura CA
Brew Mood Cafe,210-300-6244,valentine_gillian@gmail.com,775 W 17th St San Antonio Bexar TX
MC Donalds,785-219-7724,kati.rulapaugh@hotmail.com,6980 Dorsett Rd Abilene Dickinson KS
Burger King,541-993-2611,youlanda@aol.com,2881 Lewis Rd Prineville Crook OR
Palazzo,913-645-8918,doldroyd@aol.com,7219 Woodfield Rd Overland Park Johnson KS
Addax,907-335-6568,roxane@hotmail.com,1048 Main St Fairbanks Fairbanks North Star AK
Ambar,305-995-2078,lperin@perin.org,678 3rd Ave Miami Miami-Dade FL
Makarna Dunyasi,907-227-6777,erick.ferencz@aol.com,20 S Babcock St Fairbanks Fairbanks North Star AK
Pizza Hut,617-997-5771,jina_briddick@briddick.com,38938 Park Blvd Boston Suffolk MA
US,1451656478,us@gmail.com,Turkey
Gurme,1547854648,gurmq@gurme.net,Turkey
ECA,4566746565,eca@eca.net,Istanbul Turkey
